product_code,product_name,material,size,color,brand,gender,stock_quantity,price
P001,Áo sơ mi trắng,Vải cotton,"S, M, L, XL",Trắng,XYZ,Unisex,50,"350,000 VND"
P002,Quần jean xanh,Vải denim,"28, 30, 32, 34",Xanh,ABC,Nam,30,"450,000 VND"
P003,Váy hoa,Vải voan,"S, M, L",Nhiều màu,DEF,Nữ,20,"550,000 VND"
P004,Đầm đen,Vải lụa,"S, M, L",Đen,GHI,Nữ,10,"1,200,000 VND"
P005,Áo khoác da,Da,"M, L, XL",Đen,JKL,Nam,15,"2,500,000 VND"
P006,Quần shorts,Vải cotton,"S, M, L, XL","Xanh, Đen",MNO,Unisex,40,"300,000 VND"
P007,Váy xòe,Vải chiffon,"S, M, L",Hồng,PQR,Nữ,25,"600,000 VND"
P008,Áo phông in hình,Vải cotton,"S, M, L, XL","Trắng, Đen",STU,Unisex,35,"250,000 VND"
P009,Quần tây,Vải polyester,"28, 30, 32, 34","Đen, Xám",VWX,Nam,45,"700,000 VND"
P010,Đầm maxi,Vải chiffon,"S, M, L","Xanh, Trắng",YZA,Nữ,20,"800,000 VND"
P011,Áo len,Len,"S, M, L, XL","Xanh, Đỏ",BCD,Unisex,50,"500,000 VND"
P012,Quần legging,Vải spandex,"S, M, L","Đen, Xám",EFG,Nữ,30,"350,000 VND"
P013,Váy bút chì,Vải polyester,"S, M, L",Đen,HIJ,Nữ,20,"750,000 VND"
P014,Áo blouse,Vải lụa,"S, M, L","Trắng, Xanh",KLM,Nữ,25,"400,000 VND"
P015,Quần jogger,Vải cotton,"S, M, L, XL","Đen, Xám",NOP,Unisex,35,"450,000 VND"
P016,Váy midi,Vải lụa,"S, M, L","Hồng, Trắng",QRS,Nữ,20,"700,000 VND"
P017,Áo thun dài tay,Vải cotton,"S, M, L, XL","Xanh, Đen",TUV,Unisex,50,"300,000 VND"
P018,Quần kaki,Vải kaki,"28, 30, 32, 34","Nâu, Xanh",WXY,Nam,30,"500,000 VND"
P019,Váy ren,Vải ren,"S, M, L","Đỏ, Đen",ZAB,Nữ,15,"1,000,000 VND"
P020,Đầm dự tiệc,Vải satin,"S, M, L","Xanh, Vàng",CDE,Nữ,10,"1,500,000 VND"
P021,Áo phông cổ tròn,Vải cotton,"S, M, L, XL","Đen, Trắng",FGHI,Unisex,60,"200,000 VND"
P022,Quần short jean,Vải denim,"S, M, L, XL","Xanh, Trắng",JKLM,Nữ,40,"350,000 VND"
P023,Váy bodycon,Vải polyester,"S, M, L","Đỏ, Đen",NOPQ,Nữ,15,"900,000 VND"
P024,Đầm dạ hội,Vải satin,"S, M, L","Đỏ, Xanh",RSTU,Nữ,5,"2,000,000 VND"
P025,Áo hoodie,Vải nỉ,"S, M, L, XL","Xám, Đen",UVWX,Unisex,50,"600,000 VND"
P026,Quần sweatpants,Vải cotton,"S, M, L, XL","Xám, Đen",YZAB,Unisex,30,"500,000 VND"
P027,Váy ngắn xếp ly,Vải polyester,"S, M, L","Hồng, Đen",BCDE,Nữ,20,"650,000 VND"
P028,Áo dài tay len,Len,"S, M, L, XL","Xám, Đen",DEFG,Unisex,25,"700,000 VND"
P029,Quần ống rộng,Vải linen,"S, M, L","Trắng, Xám",FGHI,Nữ,15,"750,000 VND"
P030,Đầm mùa hè,Vải cotton,"S, M, L","Vàng, Trắng",HIJK,Nữ,20,"900,000 VND"
